id	description	age_determinations	due_to_s_expression
Check for urgent genital symptoms in a man	Check for urgent genital symptoms in a man	{adult}	"(or (finding (snomed_concept ""Clinical finding"" ""finding"") (attribute (snomed_concept ""Finding site"" ""attribute"") (snomed_concept ""Scrotal structure"" ""body structure""))) (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Male genitalia finding"" ""finding"")))"
Check Sp0₂ if respiratory rate < 9 bpm	Check Sp0₂ if respiratory rate < 9 bpm	{adult}	"(< (measurement (snomed_concept ""Respiratory rate"" ""observable entity"") bpm) 9)"
Check Sp0₂ if respiratory rate >= 15 bpm	Check Sp0₂ if respiratory rate >= 15 bpm	{adult}	"(>= (measurement (snomed_concept ""Respiratory rate"" ""observable entity"") bpm) 15)"
Give oxygen if saturation below 92%	Give oxygen if saturation below 92%	{adult}	"(< (measurement (snomed_concept ""Hemoglobin saturation with oxygen"" ""observable entity"") %) 92)"
Urgent: back pain with cauda equina or neurological signs	Urgent: back pain with cauda equina or neurological signs	{adult}	"(and (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Backache"" ""finding"")) (or (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Urinary incontinence"" ""finding"")) (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Incontinence of feces"" ""finding"")) (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Unable to void urine"" ""finding"")) (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Numbness of limbs"" ""finding"")) (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Muscle weakness of limb"" ""finding"")) (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Traumatic injury"" ""disorder""))))"
Emergency: probable hypertensive emergency	Emergency: probable hypertensive emergency	{adult}	"(diagnosis (snomed_concept ""Hypertensive emergency"" ""disorder"") probable)"
Urgent: toothache with fever and swelling or unable to eat	Urgent: toothache with fever and swelling or unable to eat	{adult}	"(and (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Toothache"" ""finding"")) (or (and (>= (measurement (snomed_concept ""Body temperature"" ""observable entity"") °C) 38) (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Swelling"" ""finding"") (attribute (snomed_concept ""Finding site"" ""attribute"") (snomed_concept ""Face structure"" ""body structure"")))) (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Unable to eat"" ""finding"")) (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Unable to drink"" ""finding""))))"
Urgent: urinary retention with abdominal distension	Urgent: urinary retention with abdominal distension	{adult}	"(and (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Unable to void urine"" ""finding"")) (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Distension of abdomen"" ""finding"")))"
Urgent: haematuria with flank pain	Urgent: haematuria with flank pain	{adult}	"(and (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Blood in urine"" ""finding"")) (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Flank pain"" ""finding"")))"
Urgent: flank pain with fever and systemic signs	Urgent: flank pain with fever and systemic signs	{adult}	"(and (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Flank pain"" ""finding"")) (>= (measurement (snomed_concept ""Body temperature"" ""observable entity"") °C) 38) (or (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Finding of vomiting"" ""finding"")) (< (measurement (snomed_concept ""Systolic blood pressure"" ""observable entity"") mmHg) 90) (< (measurement (snomed_concept ""Diastolic blood pressure"" ""observable entity"") mmHg) 60) (>= (measurement (snomed_concept ""Pulse, function"" ""observable entity"") bpm) 100)))"
Urgent: severe wheeze with respiratory distress	Urgent: severe wheeze with respiratory distress	{adult}	"(and (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Wheezing"" ""finding"")) (or (>= (measurement (snomed_concept ""Respiratory rate"" ""observable entity"") bpm) 30) (>= (measurement (snomed_concept ""Pulse, function"" ""observable entity"") bpm) 120) (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Feeling agitated"" ""finding"")) (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Drowsy"" ""finding"")) (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Clouded consciousness"" ""finding""))))"
Urgent: foot pain with ischaemic or traumatic signs	Urgent: foot pain with ischaemic or traumatic signs	{adult}	"(and (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Foot pain"" ""finding"")) (or (and (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Absent pulse"" ""finding"")) (or (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Numbness of limbs"" ""finding"")) (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Muscle weakness of limb"" ""finding"")))) (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Gangrene of foot"" ""disorder"")) (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Traumatic injury"" ""disorder""))))"
Urgent: serious eye condition requiring immediate assessment	Urgent: serious eye condition requiring immediate assessment	{adult}	"(or (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Orbital cellulitis"" ""disorder"")) (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Sudden visual loss"" ""disorder"")) (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Penetrating wound of eye"" ""disorder"")) (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Laceration of eyelid"" ""disorder"")) (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Chemical burn"" ""disorder"") (attribute (snomed_concept ""Finding site"" ""attribute"") (snomed_concept ""Structure of eye proper"" ""body structure""))) (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Corneal ulcer"" ""disorder"")) (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Corneal opacity"" ""disorder"")) (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Herpes zoster keratoconjunctivitis"" ""disorder"")) (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Ptosis of eyelid"" ""disorder"") (qualifier (snomed_concept ""Sudden onset"" ""qualifier value""))))"
Urgent: diarrhoea with dehydration or haemodynamic compromise	Urgent: diarrhoea with dehydration or haemodynamic compromise	{adult}	"(and (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Diarrhea"" ""finding"")) (or (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Signs of dehydration"" ""finding"")) (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Drowsy"" ""finding"")) (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Clouded consciousness"" ""finding"")) (< (measurement (snomed_concept ""Systolic blood pressure"" ""observable entity"") mmHg) 90) (< (measurement (snomed_concept ""Diastolic blood pressure"" ""observable entity"") mmHg) 60) (>= (measurement (snomed_concept ""Pulse, function"" ""observable entity"") bpm) 100)))"
Diagnose probable acute coronary syndrome	Diagnose probable acute coronary syndrome	{adult}	"(or (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Chest pain"" ""finding"") (qualifier (snomed_concept ""At rest"" ""qualifier value""))) (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Chest discomfort"" ""finding"") (qualifier (snomed_concept ""At rest"" ""qualifier value""))))"
Diagnose probable stable angina	Diagnose probable stable angina	{adult}	"(finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Chest pain on exertion"" ""finding""))"
Urgent: abnormal vaginal bleeding with haemodynamic compromise	Urgent: abnormal vaginal bleeding with haemodynamic compromise	{adult}	"(and (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Abnormal vaginal bleeding"" ""finding"")) (or (and (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Pallor of skin of face"" ""finding"")) (or (>= (measurement (snomed_concept ""Pulse, function"" ""observable entity"") bpm) 100) (>= (measurement (snomed_concept ""Respiratory rate"" ""observable entity"") bpm) 30) (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Dizziness"" ""finding"")) (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Chest pain"" ""finding"")))) (< (measurement (snomed_concept ""Systolic blood pressure"" ""observable entity"") mmHg) 90) (< (measurement (snomed_concept ""Diastolic blood pressure"" ""observable entity"") mmHg) 60)))"
Urgent: head injury with nasal symptoms	Urgent: head injury with nasal symptoms	{adult}	"(and (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Injury of head"" ""disorder"")) (finding (snomed_concept ""Clinical finding"" ""finding"") (attribute (snomed_concept ""Finding site"" ""attribute"") (snomed_concept ""Nasal structure"" ""body structure""))))"
Urgent: probable tension pneumothorax	Urgent: probable tension pneumothorax	{adult}	"(diagnosis (snomed_concept ""Tension pneumothorax"" ""disorder"") probable)"
Urgent: purpuric rash with meningococcal signs	Urgent: purpuric rash with meningococcal signs	{adult}	"(and (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Purpuric rash"" ""disorder"")) (or (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Stiff neck"" ""finding"")) (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Drowsy"" ""finding"")) (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Clouded consciousness"" ""finding"")) (>= (measurement (snomed_concept ""Body temperature"" ""observable entity"") °C) 38) (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Headache"" ""finding""))))"
Diagnose probable heart failure	Diagnose probable heart failure	{adult}	"(and (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Orthopnea"" ""finding"")) (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Leg swelling symptom"" ""finding"")))"
Diagnose probable peritonitis based on nausea	Diagnose probable peritonitis based on nausea	{adult}	"(and (or (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Nausea"" ""finding"")) (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Finding of vomiting"" ""finding""))) (or (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Rebound tenderness"" ""finding"")) (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Abdominal guarding"" ""finding"")) (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Abdominal rigidity"" ""finding""))))"
Diagnose probable meningitis based on nausea	Diagnose probable meningitis based on nausea	{adult}	"(and (or (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Nausea"" ""finding"")) (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Finding of vomiting"" ""finding""))) (or (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Stiff neck"" ""finding"")) (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Drowsy"" ""finding"")) (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Clouded consciousness"" ""finding"")) (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Purpuric rash"" ""disorder""))))"
Diagnose possible deep venous thrombosis	Diagnose possible deep venous thrombosis	{adult}	"(or (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Pain in calf"" ""finding"")) (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Swollen calf"" ""finding"")))"
Diagnose possible anaphylaxis	Diagnose possible anaphylaxis	{adult}	"(or (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Itching"" ""finding"") (qualifier (snomed_concept ""Sudden onset"" ""qualifier value""))) (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Eruption"" ""morphologic abnormality"") (qualifier (snomed_concept ""Sudden onset"" ""qualifier value""))) (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Swelling"" ""finding"") (attribute (snomed_concept ""Finding site"" ""attribute"") (snomed_concept ""Face structure"" ""body structure"")) (qualifier (snomed_concept ""Sudden onset"" ""qualifier value""))) (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Swelling"" ""finding"") (attribute (snomed_concept ""Finding site"" ""attribute"") (snomed_concept ""Tongue structure"" ""body structure"")) (qualifier (snomed_concept ""Sudden onset"" ""qualifier value""))) (any2 (or (< (measurement (snomed_concept ""Systolic blood pressure"" ""observable entity"") mmHg) 90) (< (measurement (snomed_concept ""Diastolic blood pressure"" ""observable entity"") mmHg) 60)) (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Insect bite - wound"" ""disorder"")) (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Insect sting"" ""disorder"")) (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Itching"" ""finding"")) (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Eruption"" ""morphologic abnormality"")) (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Swelling"" ""finding"") (attribute (snomed_concept ""Finding site"" ""attribute"") (snomed_concept ""Face structure"" ""body structure""))) (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Swelling"" ""finding"") (attribute (snomed_concept ""Finding site"" ""attribute"") (snomed_concept ""Tongue structure"" ""body structure""))) (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Difficulty breathing"" ""finding"")) (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Dizziness"" ""finding"")) (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Collapse"" ""finding""))))"
Diagnose probable infective arthritis	Diagnose probable infective arthritis	{adult}	"(and (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Pain of joint"" ""finding"")) (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Joint warm"" ""finding"")) (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Joint swelling"" ""finding"")))"
Diagnose probable meningitis based on fever	Diagnose probable meningitis based on fever	{adult}	"(and (active_condition (snomed_concept ""Fever"" ""finding"")) (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Stiff neck"" ""finding"")) (or (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Drowsy"" ""finding"")) (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Clouded consciousness"" ""finding"")) (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Purpuric rash"" ""disorder""))))"
Urgent: fatigue with cardiac, respiratory or systemic signs	Urgent: fatigue with cardiac, respiratory or systemic signs	{adult}	"(and (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Fatigue"" ""finding"")) (or (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Chest pain"" ""finding"")) (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Difficulty breathing"" ""finding"")) (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Orthopnea"" ""finding"")) (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Leg swelling symptom"" ""finding"")) (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Signs of dehydration"" ""finding"")) (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Anemia"" ""disorder"")) (>= (measurement (snomed_concept ""Body temperature"" ""observable entity"") °C) 38) (>= (measurement (snomed_concept ""Blood glucose status"" ""observable entity"") mmol/L) 11.1) (> (measurement (snomed_concept ""Respiratory rate"" ""observable entity"") bpm) 30) (< (measurement (snomed_concept ""Systolic blood pressure"" ""observable entity"") mmHg) 90) (< (measurement (snomed_concept ""Diastolic blood pressure"" ""observable entity"") mmHg) 60)))"
Urgent: neck pain with meningism, neurological or traumatic signs	Urgent: neck pain with meningism, neurological or traumatic signs	{adult}	"(and (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Neck pain"" ""finding"")) (or (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Stiff neck"" ""finding"")) (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Numbness of limbs"" ""finding"")) (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Muscle weakness of limb"" ""finding"")) (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Traumatic injury"" ""disorder""))))"
Urgent: bite with danger signs	Urgent: bite with danger signs	{adult}	"(and (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Bite - wound"" ""disorder"")) (or (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Snake bite - wound"" ""disorder"")) (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Generalized muscle weakness"" ""finding"")) (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Has drooping eyelids"" ""finding"")) (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Difficulty swallowing"" ""finding"")) (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Difficulty talking"" ""finding"")) (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Diplopia"" ""disorder"")) (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Deep bite wound"" ""morphologic abnormality"")) (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Bite - wound"" ""disorder"") (attribute (snomed_concept ""Finding site"" ""attribute"") (snomed_concept ""Joint structure"" ""body structure""))) (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Bite - wound"" ""disorder"") (attribute (snomed_concept ""Finding site"" ""attribute"") (snomed_concept ""Bone structure"" ""body structure""))) (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Infection of bite wound"" ""disorder"")) (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Bleeding"" ""finding"") (qualifier (snomed_concept ""Excessive"" ""qualifier value""))) (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Bleeding"" ""finding"") (qualifier (snomed_concept ""Pulsatile"" ""qualifier value""))) (< (measurement (snomed_concept ""Systolic blood pressure"" ""observable entity"") mmHg) 90) (< (measurement (snomed_concept ""Diastolic blood pressure"" ""observable entity"") mmHg) 60) (>= (measurement (snomed_concept ""Body temperature"" ""observable entity"") °C) 38)))"
Urgent: stroke or TIA signs	Urgent: stroke or TIA signs	{adult}	"(and (or (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Numbness of limbs"" ""finding"")) (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Generalized muscle weakness"" ""finding""))) (or (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Difficulty talking"" ""finding"")) (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Visual disturbance"" ""disorder""))))"
Diagnose probable ischaemic heart disease	Diagnose probable ischaemic heart disease	{adult}	"(and (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Chest pain"" ""finding"")) (or (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Radiating chest pain"" ""finding"")) (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Pain radiating to jaw"" ""finding"")) (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Pain radiating to neck"" ""finding"")) (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Pain radiating to left arm"" ""finding"")) (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Pain radiating to right arm"" ""finding"")) (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Pallor of skin of face"" ""finding"")) (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Sweating"" ""finding""))))"
Diagnose probable ruptured abdominal aortic aneurysm	Diagnose probable ruptured abdominal aortic aneurysm	{adult}	"(and (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Pulsatile mass of abdomen"" ""finding"")) (< (measurement (snomed_concept ""Systolic blood pressure"" ""observable entity"") mmHg) 90))"
Diagnose probable appendicitis based on nausea	Diagnose probable appendicitis based on nausea	{adult}	"(and (or (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Nausea"" ""finding"")) (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Finding of vomiting"" ""finding""))) (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Tenderness of right lower quadrant of abdomen"" ""finding"")))"
Diagnose probable severe pre-eclampsia	Diagnose probable severe pre-eclampsia	{adult}	"(and (>= (measurement (snomed_concept ""Systolic blood pressure"" ""observable entity"") mmHg) 140) (or (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Headache"" ""finding"")) (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Blurring of visual image"" ""finding"")) (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Abdominal pain"" ""finding""))))"
Diagnose probable acute cholecystitis	Diagnose probable acute cholecystitis	{adult}	"(and (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Abdominal pain"" ""finding"")) (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Tenderness of right upper quadrant of abdomen"" ""finding"")) (or (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Nausea"" ""finding"")) (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Finding of vomiting"" ""finding"")) (active_condition (snomed_concept ""Fever"" ""finding"")) (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Loss of appetite"" ""finding""))))"
Diagnose possible pulmonary embolism	Diagnose possible pulmonary embolism	{adult}	"(and (or (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Cough"" ""finding"")) (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Difficulty breathing"" ""finding""))) (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Swollen calf"" ""finding"")))"
Diagnose possible stroke or TIA	Diagnose possible stroke or TIA	{adult}	"(and (or (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Numbness of limbs"" ""finding"")) (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Generalized muscle weakness"" ""finding""))) (or (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Difficulty talking"" ""finding"")) (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Visual disturbance"" ""disorder""))))"
Urgent: constipation with bowel obstruction signs	Urgent: constipation with bowel obstruction signs	{adult}	"(and (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Acute constipation"" ""finding"")) (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Unable to break wind"" ""finding"")) (or (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Abdominal pain"" ""finding"")) (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Distension of abdomen"" ""finding""))))"
Urgent: leg pain with absent pulse or gangrene	Urgent: leg pain with absent pulse or gangrene	{adult}	"(and (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Pain in lower limb"" ""finding"")) (or (and (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Absent pulse"" ""finding"")) (or (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Numbness of limbs"" ""finding"")) (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Muscle weakness of limb"" ""finding"")))) (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Gangrenous disorder"" ""disorder""))))"
Urgent: headache with meningism, hypertensive or neurological signs	Urgent: headache with meningism, hypertensive or neurological signs	{adult}	"(and (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Headache"" ""finding"")) (or (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Stiff neck"" ""finding"")) (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Drowsy"" ""finding"")) (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Clouded consciousness"" ""finding"")) (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Purpuric rash"" ""disorder"")) (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Visual disturbance"" ""disorder"")) (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Pain in eye"" ""finding"")) (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Nausea and vomiting"" ""disorder"")) (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Injury of head"" ""disorder"")) (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Anisocoria"" ""disorder"")) (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Morning headache"" ""finding"")) (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Frequent headache"" ""finding"")) (>= (measurement (snomed_concept ""Systolic blood pressure"" ""observable entity"") mmHg) 180) (>= (measurement (snomed_concept ""Diastolic blood pressure"" ""observable entity"") mmHg) 110)))"
Urgent: cough or breathlessness with danger signs	Urgent: cough or breathlessness with danger signs	{adult}	"(and (or (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Cough"" ""finding"")) (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Difficulty breathing"" ""finding"")) (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Dyspnea"" ""finding""))) (or (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Clouded consciousness"" ""finding"")) (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Feeling agitated"" ""finding"")) (active_condition (snomed_concept ""Tension pneumothorax"" ""disorder"")) (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Hemoptysis"" ""finding"")) (< (measurement (snomed_concept ""Systolic blood pressure"" ""observable entity"") mmHg) 90) (< (measurement (snomed_concept ""Diastolic blood pressure"" ""observable entity"") mmHg) 60) (< (measurement (snomed_concept ""Hemoglobin saturation with oxygen"" ""observable entity"") %) 92) (>= (measurement (snomed_concept ""Respiratory rate"" ""observable entity"") bpm) 30) (>= (measurement (snomed_concept ""Pulse, function"" ""observable entity"") bpm) 120) (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Wheezing"" ""finding""))))"
Diagnose possible acute pyelonephritis	Diagnose possible acute pyelonephritis	{adult}	"(and (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Flank pain"" ""finding"")) (active_condition (snomed_concept ""Fever"" ""finding"")) (or (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Finding of vomiting"" ""finding"")) (>= (measurement (snomed_concept ""Pulse, function"" ""observable entity"") bpm) 100) (< (measurement (snomed_concept ""Systolic blood pressure"" ""observable entity"") mmHg) 90)))"
Diagnose possible aneurysm	Diagnose possible aneurysm	{adult}	"(finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Groin mass"" ""finding"") (qualifier (snomed_concept ""Pulsatile"" ""qualifier value"")))"
Diagnose probable premature labor	Diagnose probable premature labor	{adult}	"(finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Painful uterine contractions"" ""finding""))"
